Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectency.Value,Located.in,Year.Planted
-37.81481055,144.9783164,Ulmus,10/12/1998,163,20,Park,1998
-37.81491505,144.9806305,Ulmus,,7,80,Park,NA
-37.81498584,144.9797612,Livistona,5/5/2015,NA,NA,Park,2015
-37.81618045,144.9797929,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81198618,144.9794514,Diploglottis,27/04/2012,NA,NA,Park,2012
-37.81295046,144.9824747,Populus,16/10/1998,84,10,Park,1998
-37.81422058,144.9818699,Quercus,5/6/2007,3,80,Park,2007
-37.81593069,144.977827,Pittosporum,10/12/1998,12,20,Park,1998
-37.8118572,144.980585,Ulmus,14/10/1998,NA,NA,Park,1998
-37.81204257,144.9830088,Phoenix,16/10/1998,NA,NA,Park,1998
-37.81264195,144.9804171,Phoenix,14/10/1998,70,60,Park,1998
-37.8119554,144.9793749,Ficus,18/05/2015,NA,NA,Park,2015
-37.81215035,144.9827773,Araucaria,16/10/1998,76,60,Park,1998
-37.81317663,144.9775557,Cercis,2/1/2000,37,30,Park,2000
-37.8157394,144.975768,Eucalyptus,10/12/1998,35,30,Park,1998
-37.81481283,144.9750458,Ulmus,16/10/1998,129,5,Park,1998
-37.81063279,144.9802973,Araucaria,14/10/1998,38,60,Park,1998
-37.81602182,144.9784214,Pittosporum,10/12/1998,9,20,Park,1998
-37.8123076,144.9821296,Ulmus,15/10/1998,94,5,Park,1998
-37.81258031,144.9806061,Ulmus,29/07/2013,NA,NA,Park,2013
-37.81060737,144.9809587,Ulmus,14/10/1998,140,10,Park,1998
-37.81624965,144.980171,Firmiana,14/11/2016,NA,NA,Park,2016
-37.81555595,144.9792689,Phoenix,10/12/1998,72,60,Park,1998
-37.81089401,144.9783993,Ficus,6/6/2013,NA,NA,Park,2013
-37.81518588,144.9776389,Ulmus,10/12/1998,128,20,Park,1998
-37.81480755,144.9797852,UNKNOWN,10/6/2015,NA,NA,Park,2015
-37.81337087,144.9807348,Ulmus,15/10/1998,NA,NA,Park,1998
-37.81083873,144.9822746,Grevillea,16/10/2012,NA,NA,Park,2012
-37.81095054,144.9766014,Platanus,1/1/2000,NA,NA,Street,2000
-37.81253317,144.978704,Platanus,14/10/1998,NA,NA,Park,1998
-37.81553847,144.9801096,Ulmus,13/10/1998,123,10,Park,1998
-37.81125342,144.9831302,Phoenix,15/10/1998,66,60,Park,1998
-37.81116886,144.9752989,Washingtonia,10/12/2012,NA,NA,Park,2012
-37.81529804,144.979905,Acacia,2/9/2016,NA,NA,Park,2016
-37.8133565,144.9830513,Ulmus,25/11/1997,68,10,Street,1997
-37.81189223,144.9764151,Platanus,21/11/1997,30,10,Street,1997
-37.81362213,144.9765777,Cordyline,11/7/2016,NA,NA,Park,2016
-37.8163946,144.9796113,Pinus,10/9/1998,82,60,Park,1998
-37.81166833,144.9819049,Cordyline,4/5/2015,NA,NA,Park,2015
-37.815707,144.9776475,Schinus,10/12/1998,131,60,Street,1998
-37.81536146,144.9797984,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81520732,144.9799115,Acacia,2/9/2016,NA,NA,Park,2016
-37.81355579,144.9828221,Magnolia,2/1/2000,13,60,Park,2000
-37.81304405,144.9775128,Ulmus,2/1/2000,77,60,Park,2000
-37.81375624,144.9759969,Fraxinus,11/7/2016,NA,NA,Park,2016
-37.81202298,144.9794951,Phoenix,,NA,NA,Park,NA
-37.81270978,144.9775955,Phoenix,16/10/1998,62,60,Park,1998
-37.81617573,144.9794866,UNKNOWN,14/05/2020,NA,NA,Park,2020
-37.81430525,144.9830295,Tilia,11/8/2014,NA,NA,Street,2014
-37.81622714,144.9797777,Quercus,14/11/2016,NA,NA,Park,2016
-37.81066541,144.9814428,Ficus,2/1/2000,164,30,Park,2000
-37.8157519,144.9760439,Eucalyptus,10/12/1998,84,60,Park,1998
-37.81353312,144.9777073,Corymbia,1/1/2000,26,60,Street,2000
-37.81237876,144.9792797,Ulmus,14/10/1998,113,20,Park,1998
-37.81494193,144.9798595,Elaeocarpus,6/5/2019,NA,NA,Park,2019
-37.81073471,144.9781753,Corymbia,1/1/2000,12,80,Street,2000
-37.81181055,144.9795937,Agathis,1/1/2000,22,80,Park,2000
-37.81170141,144.979404,Pinus,14/10/1998,123,60,Park,1998
-37.81611986,144.9790454,Corymbia,1/1/2000,45,60,Street,2000
